fold,seed,feature_set,loss,split,best_epoch,n_params,minutes,n,mae,rmse,huber,pred_std,actual_std,prediction_bias,pearson,pearson_p,spearman,spearman_p,directional_accuracy,n_above_cost,directional_accuracy_above_cost,calibration_slope,calibration_intercept,baseline_zero_mae,baseline_zero_rmse,rmse_vs_zero_ratio,r2_vs_zero,decile_spread,decile_spearman
4,0,F2,huber,test,3,740167,34.41,22040,0.013367127553083958,0.02050418444738264,0.00014363005137915116,0.0019381777047967046,0.020585257760746305,7.961510136358426e-05,0.08890356136064465,6.3819309166957165e-40,0.10094696194356181,5.112792648898717e-51,0.5364791288566243,13555,0.5518996680191811,0.9442388703202806,-2.2151305778119498e-05,0.013438257403937849,0.02060720955693763,0.9950005307962569,0.009973943715167022,0.006132194306701422,0.9878787878787878
4,1,F2,huber,val,4,740167,39.33,22040,0.01070971849424705,0.016233104512775043,8.95923954316495e-05,0.001816220137494075,0.01617102511092372,-0.0004022025460599021,0.024664394173784916,0.0002502592890175287,0.039255473885744824,5.551549790532082e-09,0.5029038112522686,12107,0.512348228297679,0.21960363135291902,1.7325800263332978e-05,0.010632552993548414,0.0161712810326475,1.003823041600893,-0.00766069884886833,0.0013935186580056325,0.709090909090909
4,1,F2,huber,test,4,740167,39.33,22040,0.01337640988988241,0.020529862982793887,0.00014361740848253324,0.0016924662571209104,0.020585257760746305,-0.0013902008346481712,0.10153118530451367,1.362147147867885e-51,0.11740968889093056,1.7067816401730758e-68,0.5316696914700545,11721,0.5559252623496289,1.2349112494584862,0.0014933928689863118,0.013438257403937849,0.02060720955693763,0.9962466255351053,0.007492661109915422,0.007755072321742773,0.9999999999999999
4,2,F2,huber,val,5,740167,44.24,22040,0.010793919698141282,0.01632061928869997,9.058340812924533e-05,0.0024432582706119654,0.01617102511092372,0.00015020640465844258,0.014319316305957279,0.0335185677600754,0.022734766789441762,0.0007370316310183947,0.5061252268602541,14368,0.5083518930957683,0.09477427185661223,-9.659183763987505e-05,0.010632552993548414,0.0161712810326475,1.0092347820652539,-0.018554845330300607,0.0011852553543576505,0.22424242424242422
4,2,F2,huber,test,5,740167,44.24,22040,0.013402306357180621,0.02053690232204604,0.00014385099325500857,0.002309239345005624,0.020585257760746305,-0.0008092698726797109,0.08389363840711082,1.0088605933767109e-35,0.10134303907659584,2.087295470434871e-51,0.5317150635208712,13922,0.5510702485275104,0.7478532594866281,0.0008449864641635759,0.013438257403937849,0.02060720955693763,0.9965882214815484,0.006811916804244089,0.006085964851081371,0.9999999999999999
4,3,F2,huber,val,4,740167,39.32,22040,0.010735246490361873,0.01626093739411813,8.992191951615276e-05,0.0021631364847214903,0.01617102511092372,0.00047350878721359805,0.02840666937333832,2.4666414089427445e-05,0.034077043461759556,4.1877776349126056e-07,0.5105263157894737,13457,0.5141562012335588,0.21236060091377287,-0.00017221291047514467,0.010632552993548414,0.0161712810326475,1.005544171874178,-0.011119081590126312,0.0017935518408194184,0.8545454545454544
4,3,F2,huber,test,4,740167,39.32,22040,0.013376948896924108,0.020528851535748814,0.00014372144687257836,0.00196471133070487,0.020585257760746305,-0.00046784543703007824,0.07909761101207816,6.236774449642983e-32,0.09809060392463063,2.943692248209583e-48,0.5360254083484574,12916,0.5543511923196036,0.8287450097611627,0.0005505743486565655,0.013438257403937849,0.02060720955693763,0.9961975433416974,0.0075904546399667705,0.0059193712659180164,0.9636363636363635
4,4,F2,huber,val,5,740167,44.24,22040,0.010829411281698254,0.016323124720364728,9.08108413139617e-05,0.002565131458340647,0.01617102511092372,0.0008995735340599599,0.02949297186955974,1.191191102059152e-05,0.02363274475872546,0.0004501692708332062,0.5028584392014519,14984,0.5022023491724507,0.1859287122099149,-0.00024131958383499046,0.010632552993548414,0.0161712810326475,1.0093897129986598,-0.01886759270751659,0.002035411263932474,0.6242424242424242
4,4,F2,huber,test,5,740167,44.24,22040,0.013402742567870251,0.020513896570073714,0.0001438073834015647,0.002420530941740222,0.020585257760746305,-0.00015655867346784182,0.08846930799376924,1.5086143573270093e-39,0.10383658338620214,6.834330396121429e-54,0.5380671506352087,14668,0.5512680665394055,0.7523818339034666,0.00035325694242287827,0.013438257403937849,0.02060720955693763,0.9954718281188877,0.009035839421639769,0.006254907930269837,0.9878787878787878
5,0,F2,huber,val,3,740167,36.59,22040,0.013420564811608306,0.020551228823308624,0.0001441273894250351,0.001806375450529838,0.020585257771712585,-0.000445508714387218,0.06536695338374737,2.6246692701646477e-22,0.07938732909893396,3.734870152335924e-32,0.5277223230490018,12282,0.546409379579873,0.7449146769356703,0.0005744316889950977,0.013438257405805861,0.020607209567938913,0.9972834388641642,0.005425742567267244,0.004221470910124481,0.9636363636363635
5,0,F2,huber,test,3,740167,36.59,21560,0.014200106433757275,0.0222299765919391,0.00016180953257470833,0.0018846809141240609,0.022237494584294533,0.001074843996356961,0.06014731456763303,9.647912786685984e-19,0.060677067099183565,4.786136841275767e-19,0.5101576994434137,12367,0.5214684240316972,0.7096827754417188,-0.0009526034641298183,0.014178634022782936,0.02224710320187101,0.9992301644948333,0.0015390783636285432,0.005636739078909159,0.7939393939393938
5,1,F2,huber,val,5,740167,47.07,22040,0.01342815020375903,0.020576016905212383,0.00014433075986000255,0.0020655667712314624,0.020585257771712585,-0.00101468812971938,0.06675086981910439,3.398923322238317e-23,0.08306209493579339,4.7548770544375517e-35,0.5290381125226861,13014,0.5395727677885355,0.665233330071961,0.000993340650556381,0.013438257405805861,0.020607209567938913,0.9984863228267907,0.0030250631278339046,0.004710784123744816,0.9515151515151514
5,1,F2,huber,test,5,740167,47.07,21560,0.014170804336418248,0.022204982821178196,0.0001612168947129245,0.002230900331331572,0.022237494584294533,0.0005203669037820707,0.06745263728138519,3.5822787398819e-23,0.08655769760623269,3.890870520365219e-37,0.5277829313543599,13534,0.538643416580464,0.6723642626140475,-0.000564079605979732,0.014178634022782936,0.02224710320187101,0.9981067026879584,0.003783010049371538,0.004068373549671378,0.8545454545454544
5,2,F2,huber,val,4,740167,41.81,22040,0.01339230748928735,0.02052183776499454,0.00014386426846283812,0.0019443453313850525,0.020585257771712585,-5.9005023499949127e-05,0.0798375591728349,1.6772727465454105e-32,0.09324884080629077,9.226098035747846e-44,0.5348911070780399,13325,0.5533958724202627,0.8452596917371845,0.00019702020585474797,0.013438257405805861,0.020607209567938913,0.9958571876185899,0.008268461868392918,0.005410959478467703,0.9999999999999999
5,2,F2,huber,test,4,740167,41.81,21560,0.014167636931902618,0.02223175912752405,0.0001614124426027834,0.002049195175383503,0.022237494584294533,0.0014795980945407298,0.07289459652034598,8.471751731027375e-27,0.09960121123000988,1.156144653205057e-48,0.5282931354359925,13261,0.5407586154890279,0.791038947786983,-0.0013070354271588803,0.014178634022782936,0.02224710320187101,0.9993102888853561,0.0013789465278660762,0.00448734822566621,0.8787878787878788
5,3,F2,huber,val,3,740167,36.58,22040,0.013377264460136089,0.02048064282680124,0.00014345801731938316,0.001667296267986962,0.020585257771712585,0.0004380600247309625,0.10587872092413682,5.676086251197096e-56,0.11503051957399095,8.38871880208532e-66,0.5357985480943739,14028,0.5562446535500428,1.307230637176487,-0.0008647972108818043,0.013438257405805861,0.020607209567938913,0.9938581329645626,0.012246011540194002,0.007500267354771495,0.9878787878787878
5,3,F2,huber,test,3,740167,36.58,21560,0.01420571191238044,0.022257026833249573,0.00016184234971229478,0.0016589923315936711,0.022237494584294533,0.0019455122615106013,0.0768218191838157,1.372733004813545e-29,0.09345387342482282,4.992494641742321e-43,0.5153525046382189,13615,0.5233198677928755,1.0297363981271055,-0.00198392356257673,0.014178634022782936,0.02224710320187101,1.00044606397914,-0.0008923269313532156,0.006605756236240268,0.9878787878787878
5,4,F2,huber,val,5,740167,47.03,22040,0.01344927602748003,0.020579415550645082,0.0001445841659292982,0.0022869074752068395,0.020585257771712585,-0.0008929889018947205,0.06657097984959999,4.4440048258976865e-23,0.07819833439849004,3.02683552031873e-31,0.5279038112522686,13930,0.539770279971285,0.5992287817396531,0.0009162059770807984,0.013438257405805861,0.020607209567938913,0.9986512478944712,0.0026956850788155684,0.004165735736023635,0.9272727272727272
5,4,F2,huber,test,5,740167,47.03,21560,0.014188412373881375,0.022212668414614233,0.00016149408845504617,0.0025008126575408996,0.022237494584294533,0.0005997676240516274,0.06938555612003278,1.9866293492594096e-24,0.08317089229735837,2.0780596665979228e-34,0.524721706864564,14232,0.5347105115233277,0.6169838127597762,-0.0006204573473306237,0.014178634022782936,0.02224710320187101,0.9984521675948408,0.003093269025164047,0.0054659123125020415,0.8060606060606059
